8.81,4.85
8.15,4.49
8.61,4.20
8.36,4.52
8.76,4.44
8.76,4.29
8.10,4.93
8.32,4.82
8.37,4.78
8.94,5.74
8.66,5.00
8.59,5.22
9.20,5.27
8.25,5.11
8.66,5.11
8.74,5.08
9.28,6.14
8.19,6.67
8.44,6.73
8.69,6.29
2.88,6.44
2.88,6.44
1.68,6.81
1.84,6.54
2.25,6.35
0.44,6.75
1.82,6.21
2.12,6.93
2.04,6.94
0.06,6.55
1.01,5.50
1.36,6.16
0.77,7.00
2.95,6.72
2.76,6.04
2.44,5.65
2.71,5.53
1.21,5.38
0.20,5.71
0.31,5.58
1.33,5.44
5.75,3.24
5.20,3.07
5.40,2.13
5.70,2.58
5.35,2.93
5.78,2.34
5.48,3.48
5.77,3.57
5.65,3.71
5.61,2.60
4.38,1.53
5.78,2.19
5.68,3.49
4.37,1.76
4.62,2.11
4.52,2.66
4.85,2.58
5.55,2.46
4.43,1.07
4.56,3.49
